month,gross_margin_pct,cogs,revenue,gross_profit,hosting_costs,support_costs,payment_processing,other_cogs
2024-01-01,72,280000,894694.45,614694.45,112000,70000,56000,42000
2024-02-01,73,290000,934858.09,644858.09,116000,72500,58000,43500
2024-03-01,71,310000,984454.0,674454.0,124000,77500,62000,46500
2024-04-01,74,300000,1036386.55,736386.55,120000,75000,60000,45000
2024-05-01,75,320000,1087079.6,767079.6000000001,128000,80000,64000,48000
2024-06-01,74,340000,1155266.65,815266.6499999999,136000,85000,68000,51000
2024-07-01,76,330000,1206619.25,876619.25,132000,82500,66000,49500
2024-08-01,78,310000,1251985.64,941985.6399999999,124000,77500,62000,46500
2024-09-01,79,300000,1307321.97,1007321.97,120000,75000,60000,45000
2024-10-01,80,290000,1362979.66,1072979.66,116000,72500,58000,43500
2024-11-01,81,280000,1429536.1,1149536.1,112000,70000,56000,42000
2024-12-01,82,270000,1473498.3,1203498.3,108000,67500,54000,40500
2025-01-01,82,275000,1532865.21,1257865.21,110000,68750,55000,41250
2025-02-01,83,265000,1587029.02,1322029.02,106000,66250,53000,39750
2025-03-01,83,260000,1639598.48,1379598.48,104000,65000,52000,39000
2025-04-01,84,250000,1706009.4,1456009.4,100000,62500,50000,37500
2025-05-01,84,255000,1779911.75,1524911.75,102000,63750,51000,38250
2025-06-01,85,245000,1842932.58,1597932.58,98000,61250,49000,36750
2025-07-01,85,240000,1918713.68,1678713.68,96000,60000,48000,36000
2025-08-01,86,235000,1994092.22,1759092.22,94000,58750,47000,35250
2025-09-01,86,230000,2063005.21,1833005.21,92000,57500,46000,34500
2025-10-01,87,225000,2124414.93,1899414.9300000002,90000,56250,45000,33750
2025-11-01,87,220000,2192016.56,1972016.56,88000,55000,44000,33000
2025-12-01,88,215000,2265191.91,2050191.9100000001,86000,53750,43000,32250
